赛项名称,赛道,发布时间,报名时间,组织单位,官网
第七届全国青少年人工智能创新挑战赛,“未来校园”智能应用专项赛,2024年4月15日,2024年4月15日-5月15日,2.主办单位对规则中未说明及有争议的事项拥有最终解释权、补充,http://www.china61.org.cn；
第七届全国青少年人工智能创新挑战赛,3D编程模型创新设计专项赛,2024年4月15日,2024年4月15日-5月15日,3.主办单位和专家评审委员会对规则中未说明及有争议的事项,http://www.china61.org.cn；
